1: water: V/L sat. T=5, to 370, C

                          Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        
Temperature  Pressure     Density      Density      Enthalpy     Enthalpy     Entropy      Entropy      Therm. Cond. Therm. Cond. Viscosity    Viscosity    Surf. Tension
(C)          (kPa)        (kg/m^3)     (kg/m^3)     (kJ/kg)      (kJ/kg)      (kJ/kg-K)    (kJ/kg-K)    (W/m-K)      (W/m-K)      (uPa-s)      (uPa-s)      (N/m)
77,500       42,814       973,31       0,26691      324,52       2638,8       1,0458       7,6458       0,66843      0,022769     365,71       11,509       0,063129
78,000       43,703       973,00       0,27209      326,62       2639,7       1,0517       7,6388       0,66875      0,022817     363,38       11,526       0,063038
78,500       44,607       972,69       0,27736      328,72       2640,5       1,0577       7,6318       0,66906      0,022865     361,08       11,542       0,062947
79,000       45,527       972,39       0,28271      330,81       2641,3       1,0637       7,6249       0,66938      0,022914     358,81       11,559       0,062856
79,500       46,463       972,08       0,28815      332,91       2642,2       1,0696       7,6180       0,66968      0,022962     356,56       11,576       0,062764
80,000       47,414       971,77       0,29367      335,01       2643,0       1,0756       7,6111       0,66999      0,023011     354,33       11,592       0,062673
80,500       48,383       971,45       0,29928      337,11       2643,9       1,0815       7,6042       0,67029      0,023060     352,13       11,609       0,062581
81,000       49,367       971,14       0,30498      339,21       2644,7       1,0874       7,5973       0,67058      0,023109     349,95       11,626       0,062489
81,500       50,369       970,83       0,31077      341,31       2645,5       1,0934       7,5905       0,67088      0,023158     347,80       11,643       0,062397
82,000       51,387       970,51       0,31665      343,41       2646,4       1,0993       7,5837       0,67116      0,023207     345,66       11,659       0,062305
82,500       52,423       970,19       0,32262      345,51       2647,2       1,1052       7,5769       0,67145      0,023257     343,55       11,676       0,062213
83,000       53,476       969,88       0,32868      347,61       2648,0       1,1111       7,5702       0,67173      0,023307     341,47       11,693       0,062121
83,500       54,546       969,56       0,33484      349,71       2648,8       1,1170       7,5634       0,67200      0,023356     339,40       11,710       0,062028
84,000       55,635       969,24       0,34109      351,81       2649,7       1,1229       7,5567       0,67228      0,023406     337,36       11,727       0,061936
84,500       56,742       968,91       0,34743      353,91       2650,5       1,1287       7,5501       0,67255      0,023457     335,33       11,743       0,061843
85,000       57,867       968,59       0,35388      356,01       2651,3       1,1346       7,5434       0,67281      0,023507     333,33       11,760       0,061750
85,500       59,011       968,27       0,36042      358,12       2652,2       1,1405       7,5368       0,67307      0,023557     331,35       11,777       0,061658
86,000       60,173       967,94       0,36706      360,22       2653,0       1,1463       7,5302       0,67333      0,023608     329,39       11,794       0,061565
86,500       61,355       967,62       0,37380      362,32       2653,8       1,1522       7,5236       0,67358      0,023659     327,45       11,811       0,061471
87,000       62,556       967,29       0,38064      364,42       2654,6       1,1580       7,5170       0,67383      0,023710     325,52       11,828       0,061378
87,500       63,776       966,96       0,38759      366,52       2655,4       1,1638       7,5105       0,67408      0,023761     323,62       11,844       0,061285
88,000       65,017       966,63       0,39464      368,63       2656,3       1,1696       7,5040       0,67432      0,023812     321,74       11,861       0,061191
88,500       66,277       966,30       0,40179      370,73       2657,1       1,1755       7,4975       0,67456      0,023864     319,88       11,878       0,061098
89,000       67,558       965,96       0,40905      372,83       2657,9       1,1813       7,4910       0,67479      0,023916     318,03       11,895       0,061004
89,500       68,860       965,63       0,41642      374,94       2658,7       1,1871       7,4845       0,67502      0,023967     316,21       11,912       0,060910
90,000       70,182       965,30       0,42390      377,04       2659,5       1,1929       7,4781       0,67525      0,024019     314,40       11,929       0,060816
90,500       71,525       964,96       0,43148      379,14       2660,3       1,1987       7,4717       0,67548      0,024072     312,61       11,946       0,060722
91,000       72,890       964,62       0,43918      381,25       2661,2       1,2044       7,4653       0,67570      0,024124     310,84       11,963       0,060628
91,500       74,276       964,28       0,44699      383,35       2662,0       1,2102       7,4590       0,67591      0,024177     309,08       11,980       0,060533
92,000       75,684       963,94       0,45491      385,46       2662,8       1,2160       7,4526       0,67613      0,024229     307,35       11,997       0,060439
92,500       77,115       963,60       0,46295      387,56       2663,6       1,2217       7,4463       0,67634      0,024282     305,63       12,014       0,060344
93,000       78,568       963,26       0,47111      389,67       2664,4       1,2275       7,4400       0,67654      0,024335     303,92       12,031       0,060250
93,500       80,043       962,92       0,47938      391,77       2665,2       1,2332       7,4338       0,67675      0,024388     302,24       12,048       0,060155
94,000       81,541       962,57       0,48777      393,88       2666,0       1,2389       7,4275       0,67695      0,024442     300,57       12,065       0,060060
94,500       83,063       962,23       0,49628      395,98       2666,8       1,2447       7,4213       0,67714      0,024495     298,92       12,082       0,059965
95,000       84,608       961,88       0,50491      398,09       2667,6       1,2504       7,4151       0,67734      0,024549     297,28       12,099       0,059870
95,500       86,178       961,53       0,51366      400,20       2668,4       1,2561       7,4089       0,67753      0,024603     295,66       12,116       0,059774
96,000       87,771       961,18       0,52254      402,30       2669,2       1,2618       7,4027       0,67771      0,024657     294,05       12,133       0,059679
96,500       89,388       960,83       0,53154      404,41       2670,0       1,2675       7,3966       0,67790      0,024711     292,46       12,150       0,059584
